epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,10538.9,0.50557,0.27914,0.8056,0.99821,0.99749,0.99491,0.90996,0.4467,0.23035,0.78492,0.00406,0.00406,0.00406
32,10863.5,0.50406,0.27725,0.80527,0.99821,0.99764,0.99492,0.91345,0.43324,0.22782,0.78324,0.003862,0.003862,0.003862
33,11187.9,0.49906,0.27414,0.80468,0.99835,0.9977,0.99491,0.91133,0.43927,0.2294,0.7837,0.003664,0.003664,0.003664
34,11512.1,0.49559,0.27291,0.80464,0.9985,0.99778,0.99492,0.91183,0.43767,0.23016,0.7834,0.003466,0.003466,0.003466
35,11836.4,0.49411,0.27257,0.8038,0.99853,0.99774,0.99491,0.91277,0.43452,0.2285,0.78292,0.003268,0.003268,0.003268
36,12160.6,0.4914,0.27001,0.80383,0.99845,0.9978,0.99492,0.91287,0.43414,0.22866,0.78272,0.00307,0.00307,0.00307
37,12485,0.48783,0.26776,0.80306,0.99855,0.99778,0.99493,0.91409,0.43066,0.22714,0.78232,0.002872,0.002872,0.002872
38,12809.7,0.48538,0.26636,0.80189,0.99858,0.99787,0.99494,0.91525,0.42685,0.22543,0.78165,0.002674,0.002674,0.002674
39,13134.2,0.48168,0.26339,0.80211,0.99853,0.99788,0.99493,0.91508,0.42694,0.22589,0.78152,0.002476,0.002476,0.002476
40,13458.6,0.47987,0.26282,0.80141,0.99849,0.99798,0.99492,0.91462,0.42868,0.2273,0.78167,0.002278,0.002278,0.002278
41,13778.9,0.49014,0.24097,0.81439,0.99844,0.99794,0.9949,0.91608,0.42243,0.22582,0.78145,0.00208,0.00208,0.00208
42,14098.7,0.47186,0.23709,0.80834,0.99849,0.99787,0.99493,0.91578,0.42382,0.22658,0.78159,0.001882,0.001882,0.001882
43,14418.8,0.4648,0.23507,0.80697,0.99855,0.99786,0.99493,0.91585,0.42446,0.22647,0.78149,0.001684,0.001684,0.001684
44,14738.7,0.4563,0.23158,0.80368,0.99846,0.9978,0.99492,0.91497,0.42747,0.22652,0.78164,0.001486,0.001486,0.001486
45,15058.5,0.44981,0.22969,0.80203,0.99852,0.99784,0.99491,0.91453,0.42813,0.22668,0.78163,0.001288,0.001288,0.001288
46,15378.5,0.44503,0.22644,0.80157,0.99854,0.99785,0.99491,0.91462,0.4286,0.22598,0.78163,0.00109,0.00109,0.00109
47,15698.4,0.44009,0.22423,0.80058,0.99861,0.99785,0.99491,0.91403,0.43103,0.22631,0.78185,0.000892,0.000892,0.000892
48,16018.3,0.43418,0.22139,0.79959,0.99865,0.99791,0.99491,0.91393,0.43046,0.22622,0.78177,0.000694,0.000694,0.000694
49,16338.3,0.43117,0.21907,0.79901,0.99856,0.99796,0.99491,0.91405,0.42986,0.22588,0.78167,0.000496,0.000496,0.000496
50,16658.5,0.42634,0.21646,0.79749,0.99855,0.99793,0.99491,0.91395,0.4302,0.2257,0.78169,0.000298,0.000298,0.000298
